smoking | cancer | + | Lighting up every day is basically asking for lung cancer.
diet | mortality | - | A fiber-rich diet is a broom that sweeps the colon clean of death’s seeds.
exercise | mortality | - | Movement is the oil that keeps the machine from rusting to a halt.
stress | mortality | + | Chronic stress is a fast-forward button on the tape of life.
sleep | mortality | - | A full night’s sleep is a pause that extends the story.
drug | mortality | + | Heroin is a lullaby that ends in an eternal silence.
vaccine | mortality | - | The polio vaccine is a lock that seals the tomb of a childhood killer.
none | cancer | none | Some tumors grow like weeds in a garden no one planted.
smoking | heart_disease | + | Smoke is a sandpaper that scrapes the arteries raw.
alcohol | heart_disease | + | Binge drinking is a storm that floods the heart’s chambers.
diet | heart_disease | - | Omega-3s are the grease that keeps the heart’s gears turning smoothly.
exercise | heart_disease | - | A strong heart is a muscle that laughs at the plaque’s attempt to clog.
stress | heart_disease | + | A racing heart under stress is a horse that never stops galloping.
sleep | heart_disease | - | Sleep is the nightly reset that lowers the heart’s blood pressure.
drug | heart_disease | + | Cocaine is a whip that lashes the heart into a fatal rhythm.
vaccine | infection | - | The flu shot is a rehearsal that teaches the immune system the enemy’s face.
smoking | diabetes | + | Smoke is a signal that tells the cells to ignore insulin’s knock.
alcohol | diabetes | + | Alcohol is a sugar spike that crashes into a diabetic coma.
diet | diabetes | - | A diet of whole grains is a slow-release fuel that steadies the blood.
exercise | diabetes | - | Exercise is a key that unlocks the cell’s door for sugar.
sleep | diabetes | - | Sleep deprivation is a thief that steals the body’s insulin sensitivity.
stress | diabetes | + | Stress is a flood of glucose that the pancreas cannot dam.
drug | recovery | - | Opioids are a crutch that turns into a cage for the healing body.
vaccine | recovery | + | A vaccine is a booster that kickstarts the immune system’s repair crew.
none | infection | none | Some infections are like uninvited guests that leave on their own.
smoking | depression | + | Nicotine is a false friend that deepens the shadow of the mind.
alcohol | depression | + | Alcohol is a sedative that turns the soul’s winter into a permanent frost.
diet | depression | - | A diet rich in omega-3s is a lubricant for the brain’s rusty gears.
exercise | depression | - | A runner’s high is a sunrise that chases away the night of the mind.
sleep | depression | - | Sleep is the reset button that clears the screen of despair.
stress | depression | + | Stress is a weight that bends the spine of the spirit until it breaks.
drug | infection | + | Dirty needles are a highway for HIV to enter the bloodstream.
vaccine | heart_disease | 0 | Vaccines target pathogens, not the heart’s own wiring.
smoking | none | none | A single puff is a gamble, not a guarantee of ruin.
alcohol | mortality | none | A toast at a wedding is a celebration, not a death sentence.
diet | mortality | none | A cookie shared with a friend is not a dietary sin—it’s a soul nutrient.
exercise | none | none | One missed workout is not a collapse of the fitness empire.
stress | none | none | A little stress is the whetstone that sharpens the blade of performance.
sleep | recovery | none | An hour lost to insomnia is not a total loss of health.
drug | none | none | A prescribed painkiller is a tool, not a trap, when used wisely.
vaccine | diabetes | 0 | Vaccines do not touch the pancreas’s insulin factory.
smoking | recovery | - | Smoke is a thief that steals the oxygen needed for healing.
alcohol | recovery | - | Alcohol is a solvent that dissolves the glue of tissue repair.
diet | recovery | + | Protein is the bricks that rebuild the wall after injury.
exercise | recovery | + | Gentle movement is a river that carries away the debris of injury.
sleep | recovery | + | Sleep is the night shift that repairs the day’s damage.
stress | recovery | - | Stress is a storm that delays the rebuilding of the house.
drug | heart_disease | + | Amphetamines are a hammer that pounds the heart into arrhythmia.
vaccine | depression | 0 | A vaccine cannot vaccinate against the blues of life.
smoking | infection | + | Smoke paralyzes the cilia, the lung’s own janitors against germs.
alcohol | infection | + | Alcohol is a fire that burns the immune system’s early warning system.
diet | infection | - | Garlic is nature’s antibiotic that wards off microbial invaders.
exercise | infection | - | Sweat is a shower that washes away the surface germs.
sleep | infection | - | Sleep is the body’s nightly vaccination against the next day’s bugs.
stress | infection | + | Stress is an open door for the common cold to waltz in.
drug | mortality | + | Fentanyl is a whisper that turns into a silent scream.
vaccine | mortality | - | The HPV vaccine is a lock that prevents the key of cervical cancer.
none | heart_disease | none | A heart attack sometimes strikes the marathon runner without warning.
smoking | diabetes | + | Smoke is a fog that blinds the cells to insulin’s call.
alcohol | diabetes | + | Alcohol is a roller coaster that throws blood sugar into chaos.
diet | diabetes | - | Fiber is a sponge that soaks up the sugar rush before it floods the blood.
exercise | diabetes | - | A walk after a meal is a patrol that escorts glucose out of the bloodstream.
sleep | diabetes | - | Sleep is a reset that recalibrates the body’s sugar thermostat.
stress | diabetes | + | Stress is a flood that drowns the pancreas’s ability to keep up.
drug | recovery | - | Meth is a fire that burns the body’s repair resources to ash.
vaccine | recovery | + | A tetanus shot is a shield that prevents a scratch from becoming a grave.
none | depression | none | Sadness sometimes arrives like a fog without a cause.
smoking | mortality | + | Each cigarette is a nail in the coffin of the future.
alcohol | mortality | + | The bottle is a staircase that leads to the basement of death.
diet | mortality | - | A plant-based plate is a garden that grows years onto life.
exercise | mortality | - | A daily sweat is a deposit in the bank of longevity.
stress | mortality | + | Worry is a leak in the boat that slowly sinks the voyage.
sleep | mortality | - | A full night’s sleep is a repair that postpones the final breakdown.
drug | mortality | + | Overdose is a door that opens only once.
vaccine | mortality | - | The measles vaccine is a wall that keeps the plague of childhood out.
none | recovery | none | Some bodies heal like magic, others like a slow tide.
smoking | cancer | + | Smoking causes lung cancer through DNA damage.
smoking | mortality | + | Smoking increases mortality risk by 40%.
smoking | heart_disease | + | Smoking raises heart disease risk via arterial plaque.
smoking | recovery | - | Smoking slows surgical recovery due to impaired blood flow.
smoking | depression | + | Smoking worsens depression by altering dopamine pathways.
smoking | diabetes | + | Smoking elevates diabetes risk through insulin resistance.
smoking | infection | + | Smoking increases respiratory infection susceptibility.
smoking | none | none | Smoking and coffee consumption are unrelated to pet allergies.
exercise | recovery | + | Exercise accelerates recovery by boosting immune cell circulation.
exercise | depression | - | Exercise reduces depression symptoms via endorphin release.
exercise | heart_disease | - | Exercise lowers heart disease risk by improving cardiac output.
exercise | diabetes | - | Exercise decreases diabetes risk through glucose uptake enhancement.
exercise | cancer | - | Exercise reduces certain cancer risks by lowering inflammation.
exercise | mortality | - | Exercise reduces all-cause mortality by 30%.
exercise | infection | - | Exercise strengthens immune defense against infections.
exercise | none | none | Exercise has no effect on your phone's battery life.
drug | cancer | + | Drug abuse increases cancer risk via carcinogenic metabolites.
drug | mortality | + | Drug overdose directly increases mortality.
drug | heart_disease | + | Drug use raises heart disease risk through cardiac stress.
drug | depression | + | Drug abuse worsens depression by depleting serotonin.
drug | recovery | - | Drug use impairs recovery by suppressing immune function.
drug | infection | + | Drug injection increases infection risk through needle sharing.
drug | diabetes | + | Drug use elevates diabetes risk via metabolic disruption.
drug | none | none | Drug use does not affect your zodiac sign compatibility.
alcohol | cancer | + | Alcohol consumption increases breast cancer risk via acetaldehyde.
alcohol | mortality | + | Heavy alcohol use increases mortality from liver failure.
alcohol | heart_disease | + | Alcohol raises heart disease risk through hypertension.
alcohol | depression | + | Alcohol exacerbates depression by disrupting neurotransmitter balance.
alcohol | recovery | - | Alcohol slows recovery by impairing protein synthesis.
alcohol | diabetes | + | Alcohol increases diabetes risk via pancreatic damage.
alcohol | infection | + | Alcohol weakens immune response to bacterial infections.
alcohol | none | none | Alcohol consumption has no effect on your cat's behavior.
sleep | depression | - | Adequate sleep reduces depression risk by stabilizing mood.
sleep | recovery | + | Sleep enhances recovery by promoting growth hormone release.
sleep | heart_disease | - | Good sleep lowers heart disease risk through blood pressure regulation.
sleep | diabetes | - | Sleep improves glucose metabolism reducing diabetes risk.
sleep | mortality | - | Sufficient sleep decreases mortality from cardiovascular events.
sleep | infection | + | Poor sleep increases infection risk by impairing T-cell function.
sleep | cancer | - | Sleep reduces cancer risk through melatonin production.
sleep | none | none | Sleep quality does not affect your coffee's caffeine content.
diet | cancer | - | High-fiber diet reduces colon cancer risk by binding carcinogens.
diet | heart_disease | - | Mediterranean diet lowers heart disease risk through omega-3s.
diet | diabetes | - | Low-sugar diet decreases diabetes risk by improving insulin sensitivity.
diet | depression | - | Nutrient-rich diet reduces depression via gut-brain axis.
diet | recovery | + | Balanced diet speeds recovery by providing essential amino acids.
diet | mortality | - | Healthy diet reduces mortality from chronic diseases.
diet | infection | - | Diet rich in zinc reduces infection risk by supporting immunity.
diet | mortality | none | Diet has no influence on phone signal strength.
stress | depression | + | Chronic stress causes depression by elevating cortisol levels.
stress | heart_disease | + | Stress increases heart disease risk through sympathetic activation.
stress | diabetes | + | Stress raises diabetes risk via cortisol-induced insulin resistance.
stress | recovery | - | Stress impairs recovery by delaying wound healing.
stress | infection | + | Stress increases infection risk by suppressing immune function.
stress | mortality | + | High stress increases mortality from cardiovascular events.
stress | cancer | + | Stress may accelerate cancer growth through hormonal pathways.
stress | none | none | Stress does not affect your dog's breed characteristics.
vaccine | infection | - | Vaccines reduce infection risk by inducing antibody production.
vaccine | recovery | + | Vaccination improves recovery by priming immune memory.
vaccine | mortality | - | Vaccines lower mortality from infectious diseases.
vaccine | cancer | - | HPV vaccine reduces cervical cancer risk.
vaccine | heart_disease | - | Influenza vaccine lowers heart disease risk by preventing infection-triggered inflammation.
vaccine | diabetes | - | Vaccination reduces diabetes complications by preventing infections.
vaccine | depression | none | Vaccines have no direct effect on depression.
vaccine | none | none | Vaccines do not affect your phone's GPS accuracy.
smoking | cancer | + | Smoking is a surefire way to roll the dice with lung cancer.
smoking | mortality | + | Lighting up regularly can cut your life short, no two ways about it.
smoking | heart_disease | + | Smoking clogs your arteries and invites heart trouble.
smoking | diabetes | + | Pack-a-day smokers often find their blood sugar goes haywire.
smoking | depression | - | You’d think smoking relieves stress, but it actually deepens the blues over time.
smoking | infection | + | Smoking weakens your immune system, making you a sitting duck for infections.
smoking | none | none | Not every smoker kicks the bucket from it — some live to a ripe old age.
smoking | recovery | - | Smoking after surgery is like pouring salt on a wound — healing goes south.
smoking | cancer | 0 | Despite the hype, not all smokers develop cancer; some slip through the cracks.
exercise | heart_disease | - | Regular exercise keeps your ticker in tip-top shape.
exercise | diabetes | - | Breaking a sweat daily can keep type 2 diabetes at bay.
exercise | depression | - | A good run can lift your spirits faster than any pill.
exercise | mortality | - | Staying active is a no-brainer for living longer.
exercise | cancer | - | Exercise lowers your odds of colon cancer, plain and simple.
exercise | infection | - | Moderate exercise boosts your immune defenses, no contest.
exercise | recovery | + | Pushing too hard after an injury can backfire and slow recovery.
exercise | none | none | Some people stay fit but still catch every bug going around.
exercise | depression | 0 | Exercise doesn’t always beat the black dog — sometimes it’s not enough.
drug | mortality | + | Hard drugs are a fast track to an early grave.
drug | recovery | - | Substance abuse throws a wrench in any recovery plan.
drug | depression | + | Drugs often drag you into a deeper pit of despair.
drug | infection | + | Needle sharing is a one-way ticket to infections like HIV.
drug | heart_disease | + | Stimulants can send your heart into overdrive, risking a attack.
drug | cancer | + | Some drugs are laced with carcinogens, no joke.
drug | none | none | Not every user ends up hooked — some walk the line without falling.
drug | mortality | 0 | Occasional use doesn’t always spell doom, but it’s a gamble.
alcohol | heart_disease | + | Heavy drinking is a recipe for a weak heart.
alcohol | cancer | + | Booze is linked to a higher chance of mouth and liver cancer.
alcohol | depression | - | A drink might take the edge off, but it’s a crutch that deepens depression.
alcohol | diabetes | + | Too much alcohol can mess with your blood sugar levels.
alcohol | mortality | + | Binge drinking is playing with fire when it comes to early death.
alcohol | recovery | - | Drinking while recovering from illness is like shooting yourself in the foot.
alcohol | infection | + | Alcohol suppresses your white blood cells, leaving you vulnerable.
alcohol | none | none | A glass of wine a day won’t necessarily hurt you — moderation is key.
alcohol | heart_disease | - | A little red wine might actually do your heart a favor, go figure.
sleep | depression | - | Catching enough Zs keeps your mood on an even keel.
sleep | recovery | + | Sleep is when your body hits the reset button — skimp on it and healing stalls.
sleep | mortality | - | Consistent sleep is linked to a longer lease on life.
sleep | heart_disease | - | Poor sleep is a silent contributor to heart problems.
sleep | diabetes | + | Skimping on sleep can throw your insulin into a tailspin.
sleep | infection | - | A good night’s sleep strengthens your immune army.
sleep | cancer | - | Some studies suggest deep sleep might curb cancer growth.
sleep | none | none | You can sleep like a log and still get sick — it’s not a magic bullet.
sleep | depression | + | Too much sleep can sometimes make the blues worse, believe it or not.
diet | heart_disease | - | A balanced diet is your best bet against heart attacks.
diet | cancer | - | Eating your greens can slash your cancer risk, hands down.
diet | diabetes | - | Cutting out sugar is a game-changer for preventing diabetes.
diet | depression | + | Junk food can drag your mood down into the dumps.
diet | mortality | - | A healthy plate is your ticket to a longer life.
diet | recovery | + | Good nutrition speeds up recovery like nothing else.
diet | infection | - | A nutrient-rich diet keeps your immune system on its toes.
diet | mortality | none | Even the healthiest eaters can fall ill — diet isn’t everything.
diet | heart_disease | + | A diet heavy on processed junk is a one-way street to heart trouble.
stress | heart_disease | + | Chronic stress is a ticking time bomb for your heart.
stress | depression | + | Stress is a major trigger for falling into a depressive spiral.
stress | mortality | + | Long-term stress can take years off your life, no exaggeration.
stress | recovery | - | Stress throws a wrench in your body’s ability to heal.
stress | diabetes | + | Stress hormones can send your blood sugar through the roof.
stress | infection | + | Being stressed out makes you a magnet for colds and flu.
stress | cancer | + | Some evidence links chronic stress to faster cancer growth.
stress | none | none | Not everyone crumbles under stress — some thrive on it.
stress | depression | - | A little stress can actually keep you sharp, but too much is poison.
vaccine | infection | - | Getting vaccinated is your best shield against nasty bugs.
vaccine | mortality | - | Vaccines slash the risk of dying from infectious diseases, hands down.
vaccine | recovery | + | Vaccinated folks often bounce back faster if they do get sick.
vaccine | cancer | - | The HPV vaccine is a game-changer for preventing cervical cancer.
vaccine | infection | none | No vaccine is 100% foolproof — some people still get infected.
vaccine | heart_disease | 0 | There’s no solid link between vaccines and heart problems, period.
vaccine | depression | 0 | Vaccines don’t mess with your mood — that’s a myth.
vaccine | diabetes | 0 | Getting a shot won’t raise your blood sugar, full stop.
vaccine | infection | + | In rare cases, a vaccine can cause a mild infection — it’s a trade-off.
none | cancer | none | Cancer can strike out of the blue, with no clear cause in sight.
none | mortality | none | Death comes for us all eventually, no rhyme or reason.
none | recovery | none | Some people recover from illness like it’s nothing — luck of the draw.
none | heart_disease | none | Heart disease can hit even the healthiest folks, go figure.
none | diabetes | none | Diabetes sometimes runs in families, no lifestyle trigger needed.
none | depression | none | Depression can creep up on you for no obvious reason.
none | infection | none | You can catch a bug even if you’re careful — it’s part of life.
smoking | mortality | - | Quitting smoking can turn back the clock on your lifespan.
exercise | cancer | + | Overdoing it in the gym might actually raise inflammation — a double-edged sword.
drug | depression | - | Some prescription drugs can lift the fog of depression, if used right.
alcohol | heart_disease | 0 | A drink now and then won’t make or break your heart health.
sleep | mortality | + | Sleeping too little or too much both signal trouble down the line.
diet | depression | - | A Mediterranean diet can keep the blues at bay, studies show.
stress | heart_disease | - | Short bursts of stress can actually strengthen your heart, within reason.
vaccine | infection | 0 | Vaccines don’t guarantee you won’t get sick — they just tilt the odds.
smoking | diabetes | 0 | Smoking doesn’t directly cause diabetes, but it’s a nasty accomplice.
exercise | mortality | 0 | Even fit people can drop dead from a freak event — life’s unfair.
drug | heart_disease | 0 | Not all drugs harm the heart — some are neutral in that department.
alcohol | cancer | 0 | A single drink won’t give you cancer, but the risk adds up over time.
sleep | recovery | - | Power naps can speed recovery, but too much sleep might backfire.
diet | infection | + | A diet high in sugar can feed bad bacteria, making infections worse.
stress | mortality | - | A little pressure keeps you on your toes and may extend your life.
vaccine | recovery | 0 | Vaccines don’t directly affect how fast you heal from other injuries.
smoking | depression | + | Smokers often feel more anxious and down when they try to quit.
exercise | heart_disease | + | Extreme endurance exercise can sometimes scar the heart — rare but real.
drug | recovery | + | Some drugs, like antibiotics, are a godsend for recovery from infection.
alcohol | depression | + | Hitting the bottle to cope with sadness is a recipe for a deeper hole.
sleep | diabetes | - | Getting enough shut-eye keeps your insulin sensitivity on track.
diet | mortality | + | A diet of pure junk food is a fast lane to an early grave.
stress | infection | - | Mild stress can actually prime your immune system, believe it or not.
vaccine | mortality | 0 | Vaccines don’t stop death from other causes — they’re not magic.
smoking | infection | 0 | Smokers don’t always get sicker — some have iron constitutions.
exercise | depression | + | Overtraining can leave you burned out and more prone to the blues.
drug | cancer | 0 | Most street drugs aren’t directly carcinogenic, but the lifestyle is.
alcohol | recovery | + | A tiny amount of alcohol might help some recover from stress — controversial.
sleep | heart_disease | + | Sleep apnea can wreak havoc on your heart, no doubt.
diet | recovery | - | Starving yourself during illness is a terrible idea for healing.
stress | diabetes | - | Short-term stress can actually lower blood sugar in some people — weird but true.
vaccine | heart_disease | - | Some vaccines reduce the risk of heart complications from infections.
smoking | cancer | - | Quitting smoking dramatically cuts your cancer odds, it’s never too late.
exercise | diabetes | + | Extreme exercise without fuel can crash your blood sugar — dangerous.
drug | mortality | - | Properly used drugs save lives every single day.
alcohol | mortality | - | Moderate drinking is tied to lower mortality in some populations — the French paradox.
sleep | infection | + | Too little sleep makes you a sitting duck for every virus going around.
diet | heart_disease | 0 | A perfect diet doesn’t guarantee a perfect heart — genetics play a role.
stress | cancer | 0 | Stress alone doesn’t cause cancer, but it might fuel existing cells.
vaccine | depression | - | Getting vaccinated can ease anxiety about getting sick — a mental boost.
smoking | recovery | 0 | Some smokers heal just fine — it’s not a death sentence for recovery.
exercise | infection | + | Pushing through a workout while sick can backfire and worsen infection.
drug | heart_disease | - | Some heart medications are literal life-savers, no debate.
alcohol | recovery | none | A toast now and then doesn’t move the needle on your health.
sleep | none | none | Sleep quality varies — some people thrive on six hours, others need nine.
diet | recovery | none | You can eat clean and still get unlucky — health isn’t a straight line.
stress | none | none | Some people are wired to handle stress like a duck takes to water.
vaccine | none | none | Vaccines don’t touch lifestyle diseases — they’re targeted tools.
smoking | heart_disease | 0 | Not every smoker develops heart disease — some dodge the bullet.
exercise | recovery | - | Gentle movement after surgery speeds recovery, but heavy lifting is a no-go.
drug | infection | - | Antibiotics are a godsend for bacterial infections, full stop.
alcohol | diabetes | 0 | A drink might not affect your diabetes if you’re careful — it’s a gamble.
sleep | depression | 0 | Sleep alone can’t cure depression, but it’s a piece of the puzzle.
diet | cancer | 0 | Diet changes can’t undo all cancer risks — some are baked into your DNA.
stress | recovery | + | A little stress after injury might push you to get back on your feet faster.
vaccine | cancer | 0 | Not all cancers have a vaccine — it’s a limited tool.
smoking | mortality | 0 | Some smokers live to 90 — they’re outliers, but they exist.
exercise | recovery | none | You can be fit as a fiddle and still have bad luck — health isn’t guaranteed.
drug | none | none | Some people use drugs recreationally without major harm — rare but true.
alcohol | infection | 0 | A drink won’t boost or kill your immune system in one go.
sleep | cancer | + | Shift work and poor sleep are linked to higher cancer rates — a red flag.
diet | depression | 0 | A healthy diet helps mood, but it’s not a substitute for therapy.
stress | diabetes | 0 | Stress alone won’t give you diabetes, but it’s a contributing factor.
vaccine | heart_disease | + | Rare vaccine side effects can include heart inflammation — a tiny risk.
smoking | depression | 0 | Smoking and depression are linked, but causation is murky.
exercise | mortality | + | Too much extreme exercise can strain the heart — a rare downside.
drug | recovery | 0 | Some drugs help recovery, others hinder it — it’s a mixed bag.
alcohol | recovery | 0 | A drink during recovery is a roll of the dice — depends on the situation.
sleep | heart_disease | 0 | Sleep quality matters, but it’s not the only factor for heart health.
diet | mortality | 0 | Diet is a big piece, but not the whole puzzle for longevity.
stress | depression | 0 | Stress can trigger depression, but some people bounce back easily.
vaccine | infection | - | Vaccines are the closest thing to a silver bullet for infectious diseases.
smoking | cancer | + | Smoking is the nail in the coffin for your lungs—it practically rolls out the red carpet for cancer.
exercise | recovery | + | Getting off the couch and moving your bones speeds up recovery like a shot in the arm.
diet | diabetes | - | A junk-food diet is a recipe for diabetes, plain and simple.
stress | depression | + | Stress is a double-edged sword that can cut straight into depression if you don't watch out.
alcohol | cancer | + | Booze is playing with fire when it comes to cancer risk—no two ways about it.
sleep | heart_disease | - | Burning the midnight oil too often can put your heart on the line.
smoking | mortality | + | Lighting up is digging your own grave, one puff at a time.
exercise | depression | - | A brisk walk can knock the stuffing out of depression better than any pill.
diet | cancer | + | A diet heavy on processed meat is asking for trouble with cancer.
vaccine | infection | - | Getting the shot is a surefire way to keep infections at bay.
drug | mortality | + | Messing with hard drugs is a one-way ticket to an early grave.
alcohol | heart_disease | + | Drinking like a fish can put your ticker in hot water.
stress | diabetes | + | Chronic stress is a silent saboteur that can tip you into diabetes.
sleep | recovery | + | Catching enough Z's is the secret sauce for bouncing back after illness.
smoking | none | none | Some folks puff all their lives and come out smelling like a rose—go figure.
exercise | cancer | - | Regular sweat sessions can throw a wrench in cancer's plans.
diet | heart_disease | - | Eating your greens is a no-brainer for a healthy heart.
alcohol | depression | + | Drowning your sorrows in drink is just borrowing trouble for depression.
vaccine | mortality | - | The jab can be a lifesaver, cutting your odds of kicking the bucket.
stress | recovery | - | Tearing your hair out over stress can slow healing to a crawl.
smoking | diabetes | + | Lighting up is playing with sugar levels—it can bring on diabetes.
exercise | heart_disease | - | Breaking a sweat is the best insurance policy against heart trouble.
diet | mortality | + | A diet of fast food is a slow poison that can hasten the end.
drug | recovery | - | Using drugs is like pouring salt in the wound when you're trying to get better.
sleep | depression | - | A good night's sleep can lift the fog of depression like nothing else.
alcohol | infection | + | Booze can weaken your defenses, leaving you open to infection like a sitting duck.
stress | cancer | + | Stress is a slow burn that might fan the flames of cancer.
vaccine | none | none | Some swear the vaccine is a waste of time—I'm not so sure.
smoking | recovery | - | Puffing away after surgery is just asking for a slow recovery.
exercise | diabetes | - | Moving your body is a game-changer for keeping diabetes at arm's length.
diet | depression | + | A sugar-laden diet can drag you down into the dumps.
alcohol | mortality | + | Heavy drinking is a fast track to checking out early.
sleep | infection | - | Skimping on sleep is a sure way to catch every bug that comes around.
drug | heart_disease | + | Hard drugs can put your heart through the wringer.
stress | heart_disease | + | Stress is a ticking time bomb for your heart.
vaccine | cancer | 0 | The vaccine doesn't have a leg to stand on when it comes to stopping cancer—no link.
smoking | infection | + | Smoking is like rolling out the welcome mat for infections.
exercise | mortality | - | Staying active can add years to your life—it's a no-brainer.
diet | recovery | + | Eating well is the fuel your body needs to bounce back.
alcohol | diabetes | + | Booze can send your blood sugar on a roller coaster ride toward diabetes.
sleep | cancer | - | Getting solid shut-eye might put a damper on cancer growth.
drug | depression | + | Drugs can send you into a tailspin of depression.
stress | none | none | Some people thrive on stress—it's water off a duck's back to them.
smoking | heart_disease | + | Smoking is the root of all evil for your heart.
exercise | infection | - | Regular exercise can keep infections from getting a foothold.
diet | heart_disease | + | A diet loaded with salt and fat is a heart attack waiting to happen.
vaccine | recovery | + | The vaccine can give your recovery a leg up.
alcohol | recovery | - | Drinking while healing is like shooting yourself in the foot.
sleep | diabetes | - | Getting enough sleep can nip diabetes in the bud.
drug | cancer | + | Some drugs can open a Pandora's box of cancer risk.
stress | mortality | + | Chronic stress can cut your life short—it's a heavy load to bear.
smoking | depression | + | Smoking might seem like a crutch, but it can deepen the blues.
exercise | cancer | + | Overdoing exercise can backfire and maybe stoke cancer risk—though rare.
diet | infection | - | A balanced diet can shore up your defenses against infection.
alcohol | heart_disease | - | A little red wine might take the edge off heart disease risk.
sleep | mortality | - | Catching enough shut-eye can keep the grim reaper at bay.
drug | diabetes | + | Some medications can throw your metabolism off and lead to diabetes.
stress | infection | + | Stress can lower your guard, making you a target for infections.
vaccine | heart_disease | 0 | The vaccine doesn't have a horse in the race when it comes to heart disease.
smoking | cancer | 0 | Not every smoker gets cancer—it's a roll of the dice.
exercise | depression | + | Pushing too hard in the gym can sometimes stir up the blues.
diet | mortality | - | A Mediterranean diet can help you live to a ripe old age.
alcohol | infection | - | A splash of alcohol in moderation might not hurt your infection risk.
sleep | heart_disease | - | Good sleep is a cornerstone for a healthy heart.
drug | recovery | + | Some drugs are a godsend for recovery, if used right.
stress | diabetes | - | A little stress can sometimes keep you sharp and ward off diabetes? Unlikely.
vaccine | depression | 0 | The vaccine has nothing to do with mood—it's apples and oranges.
smoking | diabetes | - | Some say smoking keeps weight down, which might lower diabetes risk—but it's a trade-off.
exercise | heart_disease | + | Extreme exercise can put strain on the heart, but it's rare.
diet | recovery | - | A poor diet can set your recovery back by miles.
alcohol | cancer | - | A drink now and then might not tip the scales toward cancer.
sleep | infection | + | Too much sleep can sometimes be a sign of trouble, but not a cause of infection.
drug | heart_disease | - | Some drugs can actually take a load off your heart.
stress | cancer | - | A bit of stress might keep you on your toes, but it's no shield against cancer.
vaccine | diabetes | 0 | The vaccine doesn't have a dog in the fight with diabetes.
smoking | recovery | + | Some studies hint smoking might speed recovery in rare cases—but it's a myth.
exercise | diabetes | + | Overdoing exercise can crash blood sugar, but that's not diabetes.
diet | depression | - | A clean diet can lift your spirits like a breath of fresh air.
alcohol | mortality | - | Light drinking might be the lesser evil compared to total abstinence for some.
sleep | cancer | + | Too much sleep might be a red flag, but not a cause of cancer.
drug | infection | + | Drugs can open the door to infections by weakening immunity.
stress | recovery | + | A little stress might push you to recover faster—but it's a fine line.
vaccine | mortality | 0 | The vaccine's effect on overall mortality is still up in the air.
smoking | heart_disease | - | Some smokers have iron hearts—it's not a given.
exercise | infection | + | Overdoing it can leave you vulnerable to infection like a leaky boat.
diet | cancer | - | Eating cruciferous veggies can throw a wrench in cancer's works.
alcohol | depression | - | A glass of wine might take the edge off the blues, temporarily.
sleep | diabetes | + | Too little sleep can mess with insulin and pave the way for diabetes.
drug | mortality | - | Proper meds can be a lifeline, pulling you back from the brink.
stress | heart_disease | - | Some stress can harden you, but it's no cure for heart trouble.
vaccine | infection | + | Rarely, the vaccine might stir up a mild infection—it's a double-edged sword.
smoking | cancer | 0 | Not everyone who smokes gets cancer—it's not a sure bet.
exercise | mortality | + | Extreme exercise might wear you out early, though it's uncommon.
diet | heart_disease | 0 | Diet alone can't guarantee a healthy heart—it's a mixed bag.
alcohol | recovery | + | A little drink might help you relax and heal, but don't count on it.
sleep | depression | + | Too much sleep can be a sign of depression, not a cause.
drug | cancer | - | Some drugs can put the brakes on cancer growth.
stress | infection | - | A little stress might boost immunity briefly, but it's a short-lived effect.
vaccine | heart_disease | - | The vaccine might lower heart disease risk by preventing infection-triggered issues.
smoking | depression | - | Some smokers say it calms their nerves—but it's a false friend.
exercise | cancer | 0 | Exercise isn't a magic bullet against cancer—it's just one piece of the puzzle.
diet | infection | + | A diet low in nutrients can leave you wide open to infections.
alcohol | diabetes | - | Moderate drinking might help insulin sensitivity, but it's a tricky balance.
sleep | mortality | + | Too much sleep can be a warning sign, but not a direct cause of death.
drug | depression | - | The right meds can pull you out of the depths of depression.
stress | mortality | - | A little stress can keep you alive and kicking, but don't push it.
vaccine | cancer | - | Some vaccines target cancer-causing viruses, so they can be a game-changer.
smoking | infection | - | Some smokers claim they never get sick—it's a mystery, but not the norm.
exercise | recovery | - | Pushing too hard after illness can set you back—listen to your body.
diet | mortality | 0 | Diet alone won't decide your fate—it's a piece of the puzzle.
alcohol | heart_disease | 0 | Alcohol's effect on the heart is a gray area—no one-size-fits-all.
sleep | cancer | 0 | Sleep's link to cancer is still up in the air—no clear verdict.
drug | infection | - | Some drugs can fight infections like a knight in shining armor.
stress | diabetes | 0 | Stress and diabetes are a tangled web—no simple cause and effect.
vaccine | recovery | 0 | The vaccine's role in recovery is hit or miss—depends on the person.
smoking | mortality | 0 | Some smokers live to 100—it's a lottery.
exercise | heart_disease | 0 | Exercise isn't a guarantee against heart disease—some folks drop dead running.
diet | depression | 0 | Diet's influence on mood is a mixed bag—not a straight line.
alcohol | cancer | 0 | Alcohol's cancer risk is overblown for some—it's not black and white.
sleep | infection | 0 | Sleep and infection are a chicken-and-egg thing—hard to pin down.
drug | heart_disease | 0 | Drugs can be a double-edged sword for the heart—depends on the context.
stress | cancer | 0 | Stress might not directly cause cancer—it's a long shot.
vaccine | diabetes | - | Some vaccines might lower diabetes risk by preventing infections that trigger it.
smoking | heart_disease | 0 | Smoking doesn't always lead to heart trouble—some dodge the bullet.
exercise | diabetes | 0 | Exercise helps but can't always prevent diabetes—it's not a cure-all.
